player,fantpos,espn_rank,draft_year,height,weight,armlength,handsize,forty,ten_split,bench,vertical,broad,shuttle,cone,clust
Ezekiel Elliott,RB,93,2000,72,228,31.25,10.25,4.47,1.58,18,32.5,118,4.18,6.84,10
Calvin Johnson,WR,99,2000,77,237,36,9.75,4.35,1.52,19,42.5,139,4.07,6.66,10
Larry Fitzgerald,WR,99,2000,75,218,32.751,9.718,4.53,1.59,17,34.89,121,4.23,6.93,10
Patrick Mahomes,QB,85,2000,75,230,33.25,9.25,4.8,1.65,18,30,114,4.08,6.88,10
Deshaun Watson,QB,88,2000,74,215,33,9.75,4.66,1.6,17,32.5,119,4.31,6.95,10
Russell Wilson,QB,69,2000,71,215,31,10.25,4.55,1.59,17,34,118,4.09,6.97,10
Travis Kelce,TE,80,2000,77,260,33.624,9.978,4.66,1.66,20,35,124,4.47,7.14,10
Christian McCaffrey,RB,92,2000,71,205,30,9,4.48,1.55,10,37,121,4.22,6.57,10
Julio Jones,WR,95,2000,75,220,33.75,9.75,4.34,1.5,17,38.5,135,4.25,6.66,10
Michael Thomas,WR,86,2000,75,212,32.125,10.5,4.6,1.62,18,33,126,4.13,6.8,10
George Kittle,TE,68,2000,76,250,33.125,9.25,4.52,1.59,18,36.75,132,4.12,6.81,10
DeAndre Hopkins,WR,86,2000,73,212,33.375,10,4.6,1.66,15,36,115,4.5,6.88,10
Jimmy Graham,TE,71,2000,79,265,35,10.625,4.56,1.58,15,38.5,120,4.45,6.9,10
Mike Evans,WR,94,2000,77,231,35.125,9.625,4.53,1.6,12,37,128,4.26,7.08,10
Zach Ertz,TE,88,2000,77,250,31.625,9.625,4.74,1.69,24,33,113,4.47,7.08,10
Alvin Kamara,RB,86,2000,70,215,32.75,9.25,4.53,1.55,15,39.5,131,4.4,7.15,10
Rob Gronkowski,TE,85,2000,78,268,34.25,10.75,4.73,1.63,23,33.5,119,4.52,7.23,10
Saquon Barkley,RB,97,2000,72,233,31.375,9.5,4.4,1.54,29,41,142,4.24,6.94,10
Leonard Fournette,RB,93,2000,72,228,31.625,9.25,4.51,1.59,18,28.5,99,4.22,6.9,9
Andrew Luck,QB,99,2000,76,240,32.625,10,4.67,1.65,19,36,124,4.28,6.8,9
Josh Allen,QB,92,2000,77,237,33.25,10.125,4.75,1.59,19,33.5,119,4.48,6.9,9
Cam Newton,QB,93,2000,77,245,33.75,9.875,4.6,1.6,19,35,126,4.18,6.92,9
Adrian Peterson,RB,98,2000,73,220,32.25,10,4.41,1.57,17,38.5,127,4.4,7.09,9
Aaron Rodgers,QB,99,2000,74,225,32.314,9.589,4.77,1.7,18,34.5,110,4.37,7.28,9
Jordan Reed,TE,69,2000,74,245,33,10,4.72,1.66,16,36.78,127,4.41,7.22,9
Evan Engram,TE,90,2000,75,240,33.5,10,4.42,1.56,19,36,125,4.23,6.92,9
Melvin Gordon,RB,90,2000,73,215,32.375,9.75,4.52,1.62,19,35,126,4.07,7.04,9
Greg Olsen,TE,93,2000,77,255,32.625,10.25,4.55,1.62,23,36.5,117,4.47,7.04,9
Dez Bryant,WR,94,2000,74,220,32.314,9.589,4.57,1.58,14,38,133,4.51,7.15,9
Dalvin Cook,RB,90,2000,70,210,32.375,9.25,4.53,1.62,22,30.5,116,4.53,7.27,9
Mark Andrews,TE,75,2000,77,256,32.5,9.5,4.67,1.54,17,31,113,4.38,7.34,9
Jarvis Landry,WR,84,2000,71,196,31.75,10.25,4.72,1.68,12,30,112,4.64,7.61,9
Cooper Kupp,WR,79,2000,74,208,31.5,9.5,4.64,1.62,16,30.25,116,4.13,6.67,8
Amari Cooper,WR,94,2000,73,210,31.5,10,4.42,1.61,16,33.5,120,3.98,6.71,8
Jamaal Charles,RB,86,2000,71,199,31.004,9.2,4.38,1.53,16,30.5,122,4.22,6.8,8
Carson Wentz,QB,91,2000,77,237,33.25,10,4.77,1.65,19,30.5,118,4.15,6.86,8
DeSean Jackson,WR,90,2000,70,175,30.568,9.07,4.35,1.55,14,34.5,121,4.24,6.87,8
Frank Gore,RB,73,2000,69,212,30.5,10.125,4.63,1.62,17,34,109,4.16,6.96,8
Matthew Stafford,QB,96,2000,75,220,30.75,10,4.81,1.72,17,30.5,107,4.47,7.06,8
Dak Prescott,QB,48,2000,74,235,32.25,10.875,4.79,1.66,18,32.5,116,4.32,7.11,8
Jameis Winston,QB,97,2000,76,231,32,9.375,4.97,1.74,18,28.5,103,4.36,7.16,8
Matt Ryan,QB,98,2000,76,217,33.188,9.5,4.95,1.67,17,35.04,121,4.51,7.4,8
A.J. Brown,WR,85,2000,72,226,32.875,9.75,4.49,1.57,19,36.5,120,4.2,6.87,8
Brandin Cooks,WR,91,2000,70,183,30.75,9.625,4.33,1.54,16,36,120,3.81,6.76,8
Aaron Jones,RB,36,2000,69,208,32.5,9.5,4.56,1.6,16,37,127,4.2,6.82,8
David Johnson,RB,69,2000,73,224,31.878,9.459,4.5,1.57,25,41.5,127,4.27,6.82,8
Davante Adams,WR,85,2000,73,215,32.625,9,4.56,1.65,14,38.25,125,4.3,6.82,8
LeSean McCoy,RB,88,2000,71,210,31,9.375,4.55,1.57,17,29,107,4.23,6.87,8
JuJu Smith-Schuster,WR,83,2000,73,215,32.875,10.5,4.54,1.55,15,33,122,4.24,6.98,8
Austin Hooper,TE,79,2000,76,254,33.75,10.625,4.74,1.65,19,33,117,4.32,7,8
Chris Godwin,WR,72,2000,73,209,31.625,9.125,4.42,1.54,19,36,126,4,7.01,8
Terry McLaurin,WR,81,2000,72,208,31.5,9.125,4.35,1.52,18,37.5,125,4.15,7.01,8
Stefon Diggs,WR,68,2000,72,191,31.25,10,4.46,1.53,11,35,115,4.24,7.03,8
Nick Chubb,RB,86,2000,71,227,32,9.625,4.52,1.62,29,38.5,128,4.25,7.09,8
Marshawn Lynch,RB,93,2000,71,215,31.004,9.2,4.52,1.6,20,35.5,125,4.58,7.09,8
Joe Mixon,RB,84,2000,73,220,31.878,9.459,4.5,1.56,21,35,118,4.32,7.15,8
Derrick Henry,RB,81,2000,75,247,33,8.75,4.54,1.6,22,37,128,4.38,7.2,8
Hunter Henry,TE,89,2000,77,250,32.75,9.25,4.73,1.65,17,31.5,113,4.46,7.21,8
Kareem Hunt,RB,74,2000,71,216,31.375,9.625,4.64,1.61,18,36.5,119,4.58,7.27,8
Kyle Rudolph,TE,89,2000,78,265,33,9.625,4.88,1.72,19,34.5,113,4.42,7.29,8
Eric Ebron,TE,92,2000,76,253,33.25,10,4.6,1.63,24,32,120,4.5,7.54,8
Alshon Jeffery,WR,83,2000,75,218,33,10.25,4.53,1.69,17,36.5,122,4.22,6.76,7
Andy Dalton,QB,86,2000,74,220,31.75,9.5,4.93,1.77,17,29.5,106,4.27,6.93,7
Baker Mayfield,QB,91,2000,73,215,30.25,9.25,4.84,1.72,17,29,111,4.28,7,7
Brandon Marshall,WR,70,2000,77,232,33.75,10.375,4.56,1.6,18,37,120,4.36,7.01,7
Jordy Nelson,WR,86,2000,75,217,34.125,10.125,4.51,1.57,17,31,123,4.35,7.03,7
Kirk Cousins,QB,83,2000,75,202,31.75,9.875,4.93,1.71,16,28.5,109,4.5,7.05,7
Zach Miller,TE,85,2000,77,245,31.75,9,4.58,1.6,19,37.5,124,4.27,7.11,7
Jeremy Maclin,WR,95,2000,72,198,33.5,10.125,4.48,1.61,16,35.5,120,4.3,7.11,7
Jared Goff,QB,91,2000,76,222,32.75,9,4.82,1.66,17,27,110,4.47,7.17,7
Derek Carr,QB,68,2000,75,215,31.5,9.125,4.69,1.64,17,34.5,110,4.2,6.88,7
Calvin Ridley,WR,90,2000,73,190,31.625,9.125,4.43,1.55,15,31,110,4.41,6.88,7
Miles Sanders,RB,85,2000,71,211,30.625,9.25,4.49,1.53,20,36,124,4.19,6.89,7
Tyler Eifert,TE,93,2000,78,255,33.125,9.125,4.68,1.65,22,35.5,119,4.32,6.92,7
Kenny Golladay,WR,50,2000,76,213,32,9.75,4.5,1.58,18,35.5,120,4.15,7,7
Vernon Davis,TE,97,2000,75,244,32.751,9.718,4.4,1.52,33,42,128,4.17,7,7
Sterling Shepard,WR,79,2000,70,203,30.375,9.75,4.48,1.55,20,41,123,4.35,7,7
Deebo Samuel,WR,86,2000,71,214,31.375,10,4.48,1.57,15,39,122,4.14,7.03,7
Kerryon Johnson,RB,75,2000,71,206,32.5,9.75,4.57,1.68,11,40,126,4.29,7.07,7
Coby Fleener,TE,89,2000,78,251,33.375,10,4.56,1.61,27,37,116,4.35,7.07,7
Will Dissly,TE,59,2000,76,265,33.25,9.75,4.87,1.71,18,29.5,111,4.4,7.07,7
Devonta Freeman,RB,71,2000,68,206,29.375,9.625,4.58,1.66,14,31.75,117,4.26,7.11,7
Mark Ingram,RB,92,2000,69,215,30.75,9.5,4.62,1.61,21,31.5,113,4.62,7.13,7
Jordan Howard,RB,71,2000,72,224,32.25,9,4.62,1.69,16,34,122,4.39,7.19,7
James Conner,RB,68,2000,73,233,31.25,9.875,4.65,1.63,20,29,113,4.45,7.19,7
Jared Cook,TE,83,2000,77,254,33,10.25,4.5,1.6,23,41,123,4.61,7.3,7
Devin Singletary,RB,65,2000,67,203,28.875,8.5,4.66,1.53,15,35,117,4.4,7.32,7
Ben Watson,TE,89,2000,75,251,32.751,9.718,4.53,1.61,34,35.5,123,4.15,7.39,7
Martellus Bennett,TE,80,2000,78,275,34.061,10.107,4.68,1.53,18,34,118,4.53,7.64,7
Daniel Jones,QB,80,2000,77,221,32.5,9.75,4.81,1.68,0,33.5,120,4.41,0,7
Eddie Lacy,RB,88,2000,71,250,31,9.5,4.69,1.7,20,33.5,116,4.38,7.38,6
Allen Robinson,WR,78,2000,75,211,32,9.5,4.56,1.59,17,40.5,129,4,6.8,6
Joe Flacco,QB,89,2000,78,245,34.061,9.625,4.86,1.71,19,28.5,110,4.27,6.82,6
Colin Kaepernick,QB,81,2000,76,230,33.5,9.125,4.63,1.63,18,32.5,115,4.18,6.85,6
Marcus Mariota,QB,93,2000,76,222,32,9.875,4.52,1.57,17,36,121,4.11,6.87,6
Mitchell Trubisky,QB,89,2000,75,222,32,9.5,4.67,1.62,17,27.5,116,4.25,6.87,6
Tyler Lockett,WR,82,2000,70,182,30,8.375,4.4,1.55,14,35.5,121,4.07,6.89,6
Sam Darnold,QB,94,2000,75,225,31,9.375,4.85,1.67,18,26.5,105,4.4,6.96,6
Ryan Fitzpatrick,QB,64,2000,74,223,33.875,9.875,4.87,1.71,17,30.5,105,4.07,7.09,6
Kyle Allen,QB,50,2000,75,210,29.625,9.375,4.76,1.76,16,28.5,113,4.31,7.06,6
Courtland Sutton,WR,84,2000,76,216,32.375,9.75,4.54,1.52,18,35.25,125,4.24,6.57,6
Tarik Cohen,RB,43,2000,66,181,29.75,10.125,4.42,1.54,11,31.5,118,4.13,6.76,6
Marlon Mack,RB,61,2000,72,210,32,9,4.5,1.55,15,35.5,125,4.21,6.89,6
Derrius Guice,RB,86,2000,71,225,30.75,9,4.49,1.55,15,31.5,109,4.2,6.87,6
Emmanuel Sanders,WR,72,2000,71,180,34,8.75,4.4,1.49,12,39.25,126,4.1,6.64,6
Doug Martin,RB,90,2000,69,223,30.5,9,4.55,1.64,28,36,120,4.16,6.79,6
Marvin Jones,WR,67,2000,74,198,33.125,10,4.46,1.51,22,33,112,4.11,6.81,6
Noah Fant,TE,90,2000,76,249,33.5,9.75,4.5,1.58,20,39.5,127,4.22,6.81,6
Will Fuller,WR,90,2000,72,184,30.75,8.25,4.32,1.51,10,33.5,126,4.27,6.93,6
Sammy Watkins,WR,96,2000,73,211,32,9.625,4.43,1.55,16,34,126,4.34,6.95,6
Darren Sproles,RB,71,2000,66,190,30.375,9.625,4.46,1.52,23,33,105,3.96,6.96,6
David Njoku,TE,91,2000,76,246,35.25,10,4.66,1.62,21,38.75,132,4.43,6.97,6
Darius Slayton,WR,70,2000,73,190,32.75,10,4.39,1.54,11,40.5,135,4.15,7,6
T.J. Hockenson,TE,92,2000,77,251,32.25,9.5,4.7,1.65,17,37.5,123,4.18,7.02,6
James White,RB,38,2000,70,205,29.25,8.25,4.57,1.6,23,32,114,4.2,7.05,6
Randall Cobb,WR,84,2000,70,192,31,9.375,4.55,1.6,16,33.5,115,4.34,7.08,6
Kaden Smith,TE,61,2000,77,255,32.25,9.625,4.92,1.72,15,32,108,4.47,7.08,6
Christian Kirk,WR,85,2000,71,200,30.375,9.875,4.47,1.54,20,35.5,115,4.45,7.09,6
Jay Cutler,QB,96,2000,75,231,32.751,9.718,4.82,1.62,23,35.91,124,4.31,7.12,6
Golden Tate,WR,84,2000,70,197,30.5,9.25,4.42,1.54,17,35,120,4.34,7.12,6
Robert Woods,WR,88,2000,72,195,31,9.25,4.51,1.62,14,33.5,117,4.44,7.15,6
Karlos Williams,RB,47,2000,73,230,33,9.75,4.48,1.6,16,33.5,117,4.46,7.16,6
Sony Michel,RB,87,2000,71,215,31.25,9.125,4.54,1.56,22,33.71,117,4.21,6.89,6
Drew Lock,QB,89,2000,76,228,32.5,9,4.69,1.64,0,31,112,4.12,0,6
Tyrod Taylor,QB,60,2000,73,217,32.25,10,4.52,1.56,17,37.5,126,4.09,6.78,5
Lamar Miller,RB,83,2000,70,221,31.375,9.25,4.4,1.53,17,34.25,120,4.13,6.99,5
Brandon Allen,QB,69,2000,74,209,31.25,8.875,4.84,1.71,16,28,110,4.33,7.06,5
Blake Bortles,QB,91,2000,77,236,32.875,9.375,4.93,1.75,19,32.5,115,4.21,7.08,5
Teddy Bridgewater,QB,89,2000,74,215,33,9.25,4.82,1.66,17,30,113,4.2,7.17,5
Jacoby Brissett,QB,68,2000,76,235,32.25,9.75,4.94,1.79,18,31,113,4.53,7.17,5
Jeff Driskel,QB,49,2000,76,233,33.5,9.75,4.56,1.65,18,32,122,4.25,7.19,5
Nick Foles,QB,84,2000,78,243,34.25,10.625,5.09,1.81,19,32,110,4.73,7.19,5
Mason Rudolph,QB,79,2000,77,235,32.375,9.125,4.9,1.71,18,27.25,107,4.61,7.55,5
Carlos Hyde,RB,88,2000,72,229,32,9.625,4.66,1.69,19,34.5,114,4.36,7.13,5
DeVante Parker,WR,92,2000,75,216,33.25,9.25,4.45,1.51,17,36.5,125,4.16,6.81,5
Tevin Coleman,RB,78,2000,73,210,32,8.625,4.45,1.57,22,33.78,117,4.16,6.81,5
Mike Gesicki,TE,83,2000,78,245,34.125,10.25,4.54,1.56,22,41,129,4.1,6.76,5
Hunter Renfrow,WR,39,2000,70,184,29.125,7.875,4.59,1.61,7,35,116,4.19,6.8,5
Mike Wallace,WR,58,2000,72,200,31.441,9.33,4.33,1.56,14,40,129,4.27,6.9,5
Tyler Boyd,WR,84,2000,74,203,32,9.75,4.58,1.59,11,34,119,4.35,6.9,5
Giovani Bernard,RB,73,2000,69,205,28,9.375,4.53,1.56,19,33.5,122,4.12,6.91,5
Duke Johnson,RB,78,2000,69,210,30.375,9.25,4.55,1.62,18,34.25,121,4.21,6.93,5
Gerald Everett,TE,73,2000,75,240,33,8.5,4.6,1.61,22,37.5,126,4.33,6.99,5
Kenyan Drake,RB,70,2000,73,211,31.75,9.75,4.45,1.64,10,34.5,123,4.21,7.04,5
Michael Gallup,WR,69,2000,73,205,31.5,9.25,4.51,1.61,10,36,125,4.47,7.05,5
Jermaine Gresham,TE,92,2000,77,260,34.75,9.625,4.72,1.63,20,35,113,4.53,7.07,5
Jamison Crowder,WR,64,2000,69,177,30.375,8.75,4.54,1.66,10,37,119,4.32,7.11,5
Dwayne Allen,TE,83,2000,75,265,33,9.625,4.89,1.73,27,32,110,4.37,7.12,5
Foster Moreau,TE,64,2000,76,253,33.5,9.625,4.66,1.63,22,36.5,121,4.11,7.16,5
Marcedes Lewis,TE,89,2000,78,267,34.061,10.107,4.84,1.67,23,37,118,4.71,7.24,5
Dede Westbrook,WR,52,2000,72,178,30.625,9,4.44,1.59,8,34.5,120,4.39,7.25,5
Blake Jarwin,TE,38,2000,77,260,34,10,4.78,1.63,21,34.5,121,4.44,7.49,5
Andre Ellington,RB,77,2000,69,200,31,9.375,4.61,1.57,16,34,122,4.31,7.05,4
Geno Smith,QB,89,2000,75,221,32.5,9.25,4.59,1.62,17,33.5,124,4.29,7.02,4
Blaine Gabbert,QB,96,2000,76,235,33,10,4.66,1.62,18,33.5,120,4.26,6.84,4
Jimmy Garoppolo,QB,82,2000,74,225,31,9.25,4.97,1.78,18,30.5,110,4.26,7.04,4
Mark Sanchez,QB,95,2000,74,225,32.875,10.5,5,1.77,18,32.5,116,4.21,7.06,4
EJ Manuel,QB,76,2000,76,237,33.188,9.848,4.65,1.67,19,34,118,4.21,7.08,4
Trey Burton,TE,39,2000,75,235,31,9.375,4.62,1.62,18,31.5,113,4.34,7.1,4
Paxton Lynch,QB,85,2000,79,244,34.25,10.25,4.86,1.69,19,36,118,4.26,7.14,4
Ian Thomas,TE,71,2000,76,260,32.5,10,4.74,1.63,20,36,123,4.2,7.15,4
Mike Glennon,QB,77,2000,78,225,33.125,9.625,4.94,1.74,18,26.5,102,4.52,7.49,4
Matt Schaub,QB,80,2000,78,245,31.75,10.375,5.06,1.77,19,30.5,110,4.62,7.65,4
Matt Barkley,QB,87,2000,74,234,30.625,10,4.95,1.8,18,35.91,124,4.63,7.58,4
David Montgomery,RB,75,2000,70,222,31.375,9.25,4.63,1.62,15,28.5,121,4.33,7.09,4
Dwayne Haskins,QB,90,2000,75,231,33.25,9.625,5.04,1.76,0,28.5,99,4.71,0,4
Jerick McKinnon,RB,51,2000,69,205,30.25,8.625,4.41,1.55,32,40.5,132,4.12,6.83,4
Mohamed Sanu,WR,68,2000,74,240,33.5,10.125,4.63,1.64,19,36,126,4.24,6.88,4
John Brown,WR,59,2000,71,178,30.5,8.5,4.34,1.56,8,36.5,119,4.12,6.91,4
Kendall Wright,WR,89,2000,70,185,30.5,8.625,4.54,1.64,4,38.5,121,4.18,6.93,4
Lance Kendricks,TE,81,2000,75,250,32,9.625,4.69,1.65,25,36.5,122,4.15,6.94,4
Nyheim Hines,RB,69,2000,69,198,30.75,8.875,4.38,1.52,11,34.75,120,4.34,7.07,4
Vance McDonald,TE,78,2000,76,267,34.375,10.125,4.69,1.71,31,33.5,119,4.53,7.08,4
Diontae Johnson,WR,66,2000,70,183,30.75,9,4.53,1.59,15,33.5,123,4.45,7.09,4
Ryan Izzo,TE,57,2000,77,255,32.125,9,4.93,1.72,18,33,110,4.43,7.15,4
Kenny Stills,WR,55,2000,73,202,30.5,9,4.38,1.54,16,33.5,124,4.27,7.18,4
Hayden Hurst,TE,88,2000,76,245,32.75,9.75,4.67,1.63,16,31.75,120,4.37,7.19,4
