player,fantpos,espn_rank,draft_year,height,weight,armlength,handsize,forty,ten_split,bench,vertical,broad,shuttle,cone,clust
Robert Davis,WR,56,2000,75,212,33,9.625,4.44,1.58,19,41,136,4.28,6.82,1
Victor Bolden,WR,32,2000,68,178,31.125,9,4.56,1.65,9,32,117,4.34,6.82,1
Shelton Gibson,WR,62,2000,71,191,32,8.875,4.49,1.65,8,32,120,4.2,6.83,1
Cody Core,WR,38,2000,75,210,32.751,9.718,4.47,1.54,14,34.5,118,4.39,6.83,1
Josh Doctson,WR,91,2000,74,202,31.875,9.875,4.5,1.58,14,41,131,4.08,6.84,1
DaeSean Hamilton,WR,74,2000,73,206,31,9.375,4.57,1.62,16,34.5,121,4.15,6.84,1
John Phillips,TE,58,2000,77,251,32.25,10,4.84,1.73,20,33.5,112,4.27,6.84,1
Blake Bell,TE,48,2000,78,252,33.125,10,4.8,1.73,16,33,116,4.32,6.85,1
Malcolm Brown,RB,43,2000,71,222,32.75,10.25,4.59,1.61,19,34.5,117,4.15,6.86,1
Geremy Davis,WR,47,2000,75,211,32.25,9.5,4.54,1.61,23,36.5,124,4.18,6.86,1
Amara Darboh,WR,71,2000,74,215,32.625,9.875,4.45,1.57,17,36.25,124,4.32,6.86,1
Kenjon Barner,RB,52,2000,69,195,29.625,9.125,4.48,1.64,20,35.5,122,4.2,6.87,1
Byron Pringle,WR,38,2000,73,203,31.625,9.125,4.53,1.6,15,33.75,120,4.34,6.87,1
Devin Smith,WR,88,2000,73,199,31,9,4.42,1.56,10,39,122,4.15,6.88,1
Kalen Ballage,RB,68,2000,74,237,32.75,9.5,4.48,1.58,15,35.25,122,4.3,6.91,1
Tavarres King,WR,60,2000,73,192,33,9.5,4.47,1.57,11,36.5,123,4.33,6.91,1
Kevin White,WR,93,2000,75,216,32.625,9.25,4.35,1.53,23,36.5,118,4.14,6.92,1
Jarius Wright,WR,64,2000,70,191,31.5,8.5,4.42,1.56,11,38,120,4.03,6.93,1
Isaiah Ford,WR,47,2000,74,189,32.625,9.25,4.62,1.63,14,35.5,127,4.34,6.94,1
Taiwan Jones,RB,75,2000,72,195,34,10,4.38,1.63,13,39.5,132,4.13,6.95,1
Andy Isabella,WR,70,2000,69,188,29.75,8.375,4.31,1.51,15,36.5,121,4.15,6.95,1
Ryan Nall,RB,35,2000,74,232,31.5,10,4.58,1.64,15,33.5,122,4.16,6.95,1
Johnny Holton,WR,31,2000,73,190,32.875,9.875,4.51,1.59,8,34,124,4.25,6.95,1
Tre McBride,WR,67,2000,72,210,32.125,9,4.41,1.49,16,38,122,4.08,6.96,1
Brandon Bolden,RB,41,2000,71,220,32.25,10,4.61,1.64,21,38,119,4.41,6.96,1
Charone Peake,WR,68,2000,74,209,34,9.25,4.44,1.59,12,35.5,122,4.46,6.96,1
Kaelin Clay,WR,32,2000,70,195,30.875,9,4.51,1.64,10,33,113,4.26,6.97,1
Sammie Coates,WR,77,2000,73,212,33.375,9.375,4.43,1.55,23,41,131,4.06,6.98,1
Dexter Williams,RB,54,2000,71,212,32.25,9.25,4.57,1.6,17,36,130,4.16,7,1
Dalton Schultz,TE,56,2000,77,260,31.25,9.5,4.75,1.64,18,32,120,4.4,7,1
Zach Zenner,RB,42,2000,71,221,32,9.625,4.6,1.64,25,41,121,4.25,7.01,1
Ryquell Armstead,RB,62,2000,71,220,30.625,9.125,4.45,1.53,22,30,114,4.29,7.02,1
Jonathan Williams,RB,51,2000,72,223,31.625,10,4.66,1.6,16,34.57,120,4.34,7.02,1
Brian Hill,RB,52,2000,73,219,31.375,8.875,4.57,1.63,15,33.5,125,4.32,7.03,1
Luke Stocker,TE,74,2000,77,253,33,9.75,4.77,1.67,27,33,115,4.4,7.03,1
Josh Malone,WR,71,2000,75,205,31.375,9.625,4.4,1.56,10,30.5,121,4.19,7.05,1
Jerell Adams,TE,78,2000,77,254,34.375,9.75,4.64,1.64,18,32.5,117,4.31,7.05,1
Antonio Callaway,WR,68,2000,71,200,31.5,9.5,4.41,1.52,7,34,121,4.38,7.05,1
Mark Walton,RB,71,2000,69,205,30,9.25,4.61,1.63,18,31.5,118,4.5,7.05,1
Bennie Fowler,WR,33,2000,73,212,32,9.5,4.46,1.64,18,36,126,4.18,7.06,1
Jakobi Meyers,WR,48,2000,74,203,32,9.5,4.63,1.62,13,37,118,4.23,7.07,1
Marcell Ateman,WR,56,2000,76,216,32.875,9,4.62,1.64,13,34,121,4.25,7.07,1
Travis Homer,RB,47,2000,70,201,31.5,10,4.48,1.53,17,39.5,130,4.31,7.07,1
Noah Brown,WR,46,2000,74,225,31.75,9.125,4.61,1.66,19,35.2,122,4.33,7.07,1
Jakeem Grant,WR,35,2000,67,169,29.258,8.682,4.42,1.59,15,36.5,117,4.08,7.08,1
Russell Gage,WR,35,2000,72,184,33,9.125,4.55,1.59,15,39,122,4.3,7.08,1
Brandon Wilds,RB,49,2000,72,220,31.441,9.33,4.54,1.58,21,35.75,118,4.31,7.08,1
Tyler Ervin,RB,58,2000,70,185,29.75,9.125,4.41,1.56,17,39,135,4.39,7.08,1
LilJordan Humphrey,WR,41,2000,76,210,32.75,9.5,4.75,1.66,13,33.5,119,4.29,7.09,1
Laquon Treadwell,WR,91,2000,74,215,33.375,9.5,4.69,1.67,12,33.25,117,4.35,7.09,1
Brian Quick,WR,79,2000,75,215,34.25,9.75,4.57,1.58,15,34,119,4.23,7.1,1
Chad Williams,WR,48,2000,73,204,31.878,9.459,4.48,1.62,21,35.5,123,4.26,7.11,1
Ricardo Louis,WR,45,2000,74,215,32.375,9.5,4.43,1.57,18,38,132,4.37,7.12,1
Tyler Conklin,TE,62,2000,75,254,33,9.5,4.8,1.66,18,38,120,4.23,7.13,1
John Kelly,RB,60,2000,70,205,31.375,9.375,4.69,1.63,15,35,120,4.39,7.13,1
Hunter Sharp,WR,51,2000,71,198,31.625,9.375,4.59,1.66,12,31.75,115,4.23,7.14,1
Tre Madden,RB,33,2000,72,235,29.75,9.375,4.61,1.69,24,33.5,120,4.43,7.14,1
Kerwynn Williams,RB,57,2000,68,198,29.75,9.125,4.48,1.63,17,35,118,4.15,7.15,1
Tra Carson,RB,36,2000,71,228,31.5,9.25,4.69,1.7,19,37,115,4.32,7.15,1
Kelvin Harmon,WR,72,2000,74,221,32.5,9.5,4.6,1.61,18,32.5,117,4.32,7.15,1
Jeremy Sprinkle,TE,58,2000,77,252,34.5,10.75,4.7,1.66,15,29.75,116,4.58,7.15,1
Jaleel Scott,WR,46,2000,77,210,33.5,10,4.56,1.56,16,34.5,124,4.35,7.16,1
Lee Smith,TE,59,2000,78,265,34.375,9.75,5.03,1.77,25,29,108,4.28,7.16,1
Robert Turbin,RB,69,2000,70,225,31,9.75,4.5,1.6,28,36,122,4.31,7.16,1
Allen Lazard,WR,69,2000,77,227,32.5,9.875,4.55,1.58,17,38,123,4.38,7.16,1
Durham Smythe,TE,55,2000,78,248,31.75,9.25,4.81,1.67,18,31,110,4.23,7.17,1
Trevon Wesco,TE,60,2000,75,267,34.75,9.5,4.89,1.71,24,31,117,4.38,7.18,1
Marcus Murphy,RB,40,2000,69,195,31,8.625,4.62,1.7,13,29.75,112,4.43,7.18,1
Myles Gaskin,RB,50,2000,69,205,29.5,8.75,4.58,1.6,24,35.5,123,4.27,7.19,1
Jace Sternberger,TE,77,2000,76,251,32.125,9.75,4.75,1.66,17,31.5,113,4.31,7.19,1
Pharoh Cooper,WR,77,2000,71,208,32.25,9.125,4.7,1.71,17,30.75,117,4.31,7.2,1
Josh Oliver,TE,71,2000,77,249,33.5,10.75,4.63,1.62,22,34,117,4.47,7.21,1
Riley Ridley,WR,78,2000,73,199,32.625,10.25,4.58,1.6,13,30.5,124,4.28,7.22,1
Aaron Burbridge,WR,62,2000,73,208,31.625,8.25,4.57,1.64,20,30.5,115,4.31,7.22,1
Jeremy Langford,RB,69,2000,72,211,31.5,8.75,4.42,1.55,19,34.5,118,4.34,7.22,1
Jester Weah,WR,48,2000,75,210,33.25,8.75,4.43,1.6,15,38,129,4.41,7.24,1
Cam Phillips,WR,31,2000,72,201,30.5,8.875,4.84,1.67,12,29.5,113,4.5,7.24,1
Rashard Higgins,WR,61,2000,73,198,32.25,9.75,4.67,1.67,13,32.25,118,4.57,7.24,1
MyCole Pruitt,TE,61,2000,74,245,33.5,10.25,4.58,1.63,17,38,118,4.37,7.25,1
Samaje Perine,RB,77,2000,71,233,30.375,10,4.65,1.63,30,33,116,4.37,7.26,1
Cole Hikutini,TE,69,2000,76,240,32.75,10,4.9,1.73,20,34.5,120,4.62,7.27,1
DeAngelo Henderson,RB,44,2000,67,208,29,9.5,4.48,1.53,20,34,120,4.62,7.31,1
Brandon Coleman,WR,69,2000,78,225,34,9.25,4.56,1.66,21,32.5,112,4.51,7.33,1
Kendall Blanton,TE,37,2000,78,262,33.75,10.375,4.95,1.73,22,31,113,4.42,7.37,1
Ben Koyack,TE,50,2000,77,258,32.625,10.75,4.84,1.74,16,30,116,4.57,7.37,1
Jordan Scarlett,RB,45,2000,71,208,30.375,8.875,4.47,1.57,21,30,116,4.63,7.37,1
Jason Croom,TE,39,2000,77,246,33.624,9.978,4.74,1.72,23,34,120,4.45,7.38,1
Eric Saubert,TE,53,2000,77,253,33.5,10.375,4.74,1.68,22,34.25,121,4.64,7.39,1
Zach Gentry,TE,40,2000,80,265,34.125,9.5,4.9,1.72,12,29.5,110,4.53,7.4,1
Trayveon Williams,RB,76,2000,68,206,30.375,9.25,4.51,1.58,19,33,121,4.44,7.44,1
Isaac Nauta,TE,57,2000,75,244,31.875,9.375,4.91,1.72,19,28,97,4.43,7.45,1
Xavier Grimble,TE,31,2000,76,261,33.625,10.25,4.95,1.75,16,28.5,112,4.84,7.46,1
Qadree Ollison,RB,48,2000,73,228,31.5,9.625,4.58,1.53,19,29.5,114,4.31,7.53,1
Roger Lewis,WR,46,2000,72,203,32,9.75,4.54,1.65,8,34.75,121,4.5,7.63,1
Parris Campbell,WR,84,2000,72,205,32.25,9.5,4.31,1.51,11,40,135,4.03,6.6,1
Jordan Wilkins,RB,34,2000,73,216,30.125,9.375,4.58,1.61,16,36.5,120,4.27,6.99,1
Orson Charles,TE,73,2000,75,257,32.5,9.25,4.78,1.71,35,30.5,113,4.42,7.24,1
Trace McSorley,QB,46,2000,72,202,31,9.125,4.57,1.6,0,33,115,4.12,0,1
Will Grier,QB,68,2000,74,217,31.5,9.375,4.84,1.69,0,34,112,4.28,0,1
Jarrett Stidham,QB,81,2000,74,218,32,9.125,4.81,1.68,0,31,110,4.33,0,1
Quartney Davis,WR,62,2020,73,201,31.375,9.5,4.54,1.53,16,35.5,123,4.24,7.08,0
Aaron Fuller,WR,49,2020,71,188,29.75,8.875,4.59,1.59,15,34,118,4.29,7.14,0
Javon Leake,RB,45,2020,72,215,31.5,9.625,4.65,1.62,17,28.5,112,4.35,7.12,0
Shea Patterson,QB,31,2020,73,212,30.5,9.375,4.67,1.64,17,31,116,4.36,7.15,0
KeShawn Vaughn,RB,70,2020,70,214,30.875,8.875,4.51,1.55,17,32,117,4.22,6.9,0
Trishton Jackson,WR,42,2020,73,197,32.375,9.75,4.5,1.53,15,36,117,4.21,6.89,0
Jauan Jennings,WR,34,2020,75,215,31.625,9,4.72,1.58,17,29,119,4.41,7.22,0
Salvon Ahmed,RB,61,2020,71,197,29.25,8.75,4.62,1.56,15,34.5,120,4.32,7.07,0
DAndre Swift,RB,91,2020,68,212,29.875,9,4.48,1.56,17,35.5,121,4.19,6.86,0
Jalen Hurts,QB,70,2020,73,222,31.75,9.75,4.59,1.53,17,35,125,4.29,7.02,0
Jeff Thomas,WR,31,2020,69,170,30.375,8.375,4.45,1.51,13,36.5,125,4.16,6.81,0
Justin Jefferson,WR,91,2020,73,202,33,9.125,4.43,1.54,16,37.5,126,4.14,6.78,0
Marquez Callaway,WR,47,2020,73,205,32.375,9.375,4.55,1.55,16,38,126,4.25,6.96,0
Rico Dowdle,RB,32,2020,71,209,31.375,9,4.54,1.53,16,38,127,4.24,6.95,0
Henry Ruggs III,WR,92,2020,71,188,30.5,10.125,4.27,1.43,15,42,131,3.99,6.53,0
Donovan Peoples-Jones,WR,68,2020,74,212,33.5,10.125,4.48,1.54,17,44.5,139,4.19,6.86,0
Albert Okwuegbunam,TE,70,2020,77,258,34.125,10.25,4.49,1.58,20,38.51,133,4.2,6.87,0
Juwan Johnson,WR,52,2020,76,230,34.25,10.5,4.58,1.54,18,33,124,4.37,6.94,0
Devin Duvernay,WR,74,2020,70,200,30.625,9.5,4.39,1.51,16,35.5,123,4.2,7.13,0
DeeJay Dallas,RB,55,2020,70,217,30.625,9.25,4.58,1.54,17,33.5,119,4.32,7.18,0
Cody White,WR,36,2020,75,217,32.5,10,4.66,1.56,17,35.5,120,4.52,7.19,0
Quez Watkins,WR,60,2020,72,185,32.875,9,4.35,1.51,15,36.5,125,4.36,7.28,0
Mitchell Wilcox,TE,58,2020,75,247,32.25,9.125,4.88,1.65,19,31,112,4.43,7.37,0
Cole Kmet,TE,85,2020,78,262,33,10.5,4.7,1.6,21,37,123,4.41,7.44,0
Stephen Sullivan,TE,50,2020,77,248,35.375,10.125,4.66,1.62,19,36.5,123,4.62,7.51,0
Brian Lewerke,QB,36,2020,74,213,32.125,10.625,4.95,1.65,17,34.26,118,4.4,7.2,0
Austin Mack,WR,62,2020,73,208,33.625,10,4.59,1.57,16,31.5,117,4.42,7.24,0
Steven Montez,QB,41,2020,76,231,32.75,9.375,4.58,1.6,18,33,117,4.43,7.25,0
Justin Herbert,QB,89,2020,78,236,32.875,10,4.68,1.56,19,35.5,123,4.46,7.3,0
Nate Stanley,QB,56,2020,76,235,32.625,10,4.79,1.65,18,28.5,108,4.48,7.34,0
Jake Fromm,QB,82,2020,74,219,31.125,8.875,5.01,1.68,17,30,111,4.51,7.38,0
Jordan Love,QB,90,2020,76,224,32.625,10.5,4.65,1.58,18,35.5,118,4.52,7.4,0
Cole McDonald,QB,45,2020,75,215,32.25,9.75,4.54,1.55,17,36,121,4.52,7.4,0
Jerry Jeudy,WR,94,2020,73,193,32.125,9.5,4.45,1.48,15,35,120,4.53,7.42,0
Jacob Eason,QB,81,2020,78,231,32.875,9.5,4.89,1.66,18,27.5,110,4.75,7.78,0
James Robinson,RB,51,2020,69,219,29.625,8.75,4.64,1.55,24,40,125,4.34,7.03,0
AJ Dillon,RB,71,2020,72,247,31.625,9.625,4.53,1.53,23,41,131,4.23,7.19,0
K.J. Hill,WR,70,2020,72,196,29.125,9.25,4.6,1.52,17,32.5,114,4.3,7.04,0
Devin Asiasi,TE,71,2020,75,257,33.25,9.75,4.73,1.61,16,30.5,115,4.42,7.24,0
Raymond Calais,RB,38,2020,68,188,30,9.25,4.42,1.5,20,37.5,120,4.13,6.76,0
Joe Reed,WR,61,2020,72,224,31.125,9.75,4.47,1.55,21,38,123,4.18,6.84,0
Clyde Edwards-Helaire,RB,87,2020,67,207,29,9.625,4.6,1.53,15,39.5,123,4.3,7.04,0
CeeDee Lamb,WR,92,2020,74,198,32.25,9.25,4.5,1.46,11,34.5,124,4.21,6.89,0
Darrynton Evans,RB,30,2020,70,203,31.625,9.25,4.41,1.5,20,37,125,4.12,6.75,0
Tyrie Cleveland,WR,38,2020,74,209,32.875,9.125,4.46,1.53,13,39.5,126,4.17,6.83,0
Chase Claypool,WR,78,2020,76,238,32.5,9.875,4.42,1.52,19,40.5,126,4.13,6.76,0
Kalija Lipscomb,WR,65,2020,72,207,32.875,9.375,4.57,1.53,16,32,127,4.27,6.99,0
Brandon Aiyuk,WR,90,2020,72,205,33.5,9.75,4.5,1.52,11,40,128,4.21,6.89,0
Laviska Shenault Jr.,WR,79,2020,73,227,31.875,9,4.58,1.6,17,35.12,121,4.28,7.01,0
Jared Pinkney,TE,66,2020,76,257,32.875,10.5,4.96,1.71,23,38.19,132,4.64,7.59,0
Denzel Mims,WR,78,2020,75,207,33.875,9.375,4.38,1.51,16,38.5,131,4.43,6.66,0
Adam Trautman,TE,77,2020,77,255,32.625,9.5,4.79,1.57,18,34.5,114,4.27,6.78,0
Joshua Kelley,RB,30,2020,71,212,31.625,9.625,4.49,1.54,23,31,121,4.28,6.95,0
Eno Benjamin,RB,53,2020,69,207,31.25,8.625,4.57,1.53,12,39,122,4.25,6.97,0
J.J. Taylor,RB,44,2020,65,185,28.75,8.5,4.61,1.54,19,35.5,118,4.15,7,0
Charlie Taumoepeau,TE,51,2020,74,240,32.25,9.5,4.75,1.66,18,36.5,121,4.27,7,0
K.J. Osborn,WR,32,2020,71,203,31.25,9.125,4.48,1.47,18,37.5,123,4.35,7,0
Isaiah Hodgins,WR,61,2020,76,210,33.125,9.875,4.61,1.55,9,36.5,124,4.12,7.01,0
Jonathan Taylor,RB,88,2020,70,226,31.125,9.5,4.39,1.46,17,36,123,4.24,7.01,0
Dalton Keene,TE,35,2020,76,253,32.25,9.75,4.71,1.63,21,34,125,4.19,7.07,0
Hunter Bryant,TE,68,2020,74,248,32,10,4.74,1.65,23,32.5,115,4.46,7.08,0
Gabriel Davis,WR,57,2020,74,216,31.25,9.25,4.54,1.56,14,35,124,4.59,7.08,0
Brian Herrien,RB,34,2020,71,209,29.75,9,4.62,1.56,18,38.5,126,4.4,7.12,0
LaMical Perine,RB,75,2020,71,216,31.625,10.25,4.62,1.52,22,35,118,4.31,7.13,0
Kendrick Rogers,WR,37,2020,76,208,33.125,9.125,4.51,1.48,17,35.5,124,4.48,7.13,0
Josiah Deguara,TE,30,2020,74,242,31.625,9,4.72,1.56,25,35.5,115,4.35,7.15,0
Colby Parkinson,TE,60,2020,79,252,33.25,9.625,4.77,1.65,18,32.5,109,4.46,7.15,0
Charlie Woerner,TE,30,2020,77,244,31.125,9.5,4.78,1.63,21,34.5,120,4.46,7.18,0
Quintez Cephus,WR,55,2020,73,202,32.125,8.75,4.73,1.59,23,38.5,124,4.33,7.2,0
Brycen Hopkins,TE,52,2020,76,245,32.125,10.125,4.66,1.61,21,33.5,116,4.28,7.25,0
Dezmon Patmon,WR,48,2020,76,225,32.75,10.25,4.48,1.51,15,36,132,4.38,7.28,0
Jalen Reagor,WR,85,2020,71,206,31.375,9.5,4.47,1.52,17,42,138,4.46,7.31,0
Antonio Gandy-Golden,WR,73,2020,76,223,31.75,9.625,4.6,1.54,22,36,127,4.55,7.33,0
Scottie Phillips,RB,33,2020,68,209,29.375,8.5,4.56,1.55,29,30,114,4.53,7.4,0
Harrison Bryant,TE,64,2020,77,243,30.625,9.5,4.73,1.62,13,32.5,110,4.37,7.41,0
JaMycal Hasty,RB,35,2020,68,205,31.125,9.125,4.55,1.53,15,39,123,4.03,6.6,0
Sewo Olonilua,RB,30,2020,75,232,32.125,10,4.66,1.57,25,36,123,4.28,7.01,0
Zack Moss,RB,80,2020,69,223,31.25,9.25,4.65,1.54,19,33,114,4.37,7.16,0
Cam Akers,RB,81,2020,70,217,30.625,9,4.47,1.52,20,35.5,122,4.42,7.24,0
